region,per_capita,disabled/population,poverty_percent,housing: n_room,population,gross/population,retail,newborn/population,part children
Калужская область,0.3906034858748546,0.042949918569998684,-0.8238443358800892,0.2435550874804171,0.5517861920750031,0.37980315347521865,0.6914767131609567,0.23495569624692597,0.135864096393433
Камчатский край,0.7101610612355795,-1.5777047751249382,0.31826690749398395,0.2435550874804171,0.34615308788481225,0.5253941870357113,0.6631537526527644,0.3701257440309704,0.2830786431242309
Карачаево-Черкесская республика,0.06921424062224002,1.7387569226621102,1.611865519925616,0.5045144318056378,0.4162685285593841,0.10492240885425774,0.2390547207487863,0.4225641964479737,0.4025906313222789
"Карелия, республика",0.3931956263565377,1.1028902963795144,0.4123216087677534,0.32574931136717744,0.4651875886863157,0.36132337238607537,0.7173248634667795,0.18151787728842173,0.2512018604420194
Кемеровская область,0.24511755880681463,0.2932949525553949,0.03670318294622676,0.32574931136717744,0.7240103619965039,0.28190984926059803,0.5292818877994367,0.18151787728842173,0.33234998491297496
Кировская область,0.21521688872681732,0.9647857259743153,0.20105415552007766,0.2435550874804171,0.5924941588544479,0.22103958796722267,0.5601769900388378,0.17045375631782494,0.22506342278789448
"Коми, республика",0.4639398586543697,-0.025370363609252152,0.4490742535732881,0.2855458966287848,0.5163774692472527,0.4615609432572141,0.6615477684061117,0.2555039368162416,0.3738317098877397
Костромская область,0.2532173720583666,0.7827609741681686,-0.11549107511974312,0.2435550874804171,0.47066007230087137,0.22868682404979035,0.6059596397114992,0.18151787728842173,0.2512018604420194
Краснодарский край,0.4665578590681525,0.020013823838392848,-0.6292171195705919,0.47136584943814797,0.858022654692226,0.32650867461968813,0.7866911152187397,0.3701257440309704,0.27043141063970655
Красноярский край,0.3977459595749675,-0.5763246391833511,0.743363105851858,0.2855458966287848,0.7373451666302715,0.5279780413359894,0.6500357910334102,0.34276064963595315,0.33234998491297496
Курганская область,0.15463109829539157,0.5753601175525871,1.0977921610226826,0.32574931136717744,0.5178126416935209,0.20217931457372718,0.5110883787982781,0.23495569624692597,0.3141142508186294
Курская область,0.33955001642647353,1.5645402031050217,-0.7668390775900255,0.32574931136717744,0.5688108973795576,0.3419337384375374,0.674346916263338,0.15925712775568732,0.14297095359472944
Ленинградская область,0.4034892769031373,-0.24985129076964685,-1.1277482086887332,0.19961052858939188,0.6624575791557381,0.4269033380403524,0.7751875593535962,0.013261318951486745,0.03157723313562233
Липецкая область,0.3866106170884249,1.2302588224422597,-1.2257639043003346,0.3643113049039751,0.5743805147863343,0.37375498254353134,0.73798801073535,0.14792477918016594,0.1640374502788946
Магаданская область,0.8575979675132785,-1.9114981537721336,-1.1277482086887332,0.10506792410935506,0.20420653338064043,0.739092781583905,0.7563992085309907,0.2756102452995443,0.2830786431242309
"Марий Эл, республика",0.13810866610535388,0.7417688048606185,1.1265878872554103,0.32574931136717744,0.48305322019413066,0.1987047849969099,0.4681036048005405,0.31457035381483456,0.33234998491297496
"Мордовия, республика",0.12004550860816643,0.5124078575445628,0.8402454434824803,0.43701160300930253,0.5097356657564125,0.2444033822965621,0.44115619802256223,0.0,0.039340834183462015
Москва,0.9094261064530169,0.1527503720723655,-2.1655849342243165,0.15352150189013558,1.0000000000000002,0.6666214921478013,1.0,0.3049814768278553,0.0
Московская область,0.6127548131368004,-1.0462705801734817,-1.8159841615103975,0.19961052858939188,0.9117031522962777,0.43620249444532355,0.9223844141249105,0.36109275288568893,0.17787503680494554
Мурманская область,0.6039107151206631,-1.7987696881763702,-0.7109740012550965,0.2435550874804171,0.49847661430288714,0.5611512758613704,0.7505680455133801,0.20326088774628714,0.27043141063970655
Ненецкий АО,0.9602858379135277,-0.43529205668475546,-0.9115948207249548,0.43701160300930253,0.0,1.0000000000000004,0.7165564643210409,0.6140279899908616,0.6056145093741363
Нижегородская область,0.41236638093052846,0.6153762828290048,-0.9115948207249548,0.2855458966287848,0.7569647163134781,0.34779553842066546,0.7389109063015242,0.19245259036753196,0.14297095359472944
Новгородская область,0.26442587485966307,0.9013454639507251,0.12008730656769814,0.2855458966287848,0.46006359797580676,0.33283425903613395,0.6683240403442783,0.14792477918016594,0.19833087915405656
Новосибирская область,0.3741854431832081,-0.4718922078522112,0.16086409946275979,0.2855458966287848,0.7330983895551408,0.34133468981997783,0.6503764242748238,0.36109275288568893,0.25764670554440494
Омская область,0.2886398063372777,-0.5075163549885344,0.12008730656769814,0.3643113049039751,0.6671771138720624,0.2863103455869447,0.6221783681845201,0.2555039368162416,0.3141142508186294
Оренбургская область,0.22809760405613222,0.9384336171337471,0.20105415552007766,0.47136584943814797,0.6699218694431119,0.37007965618674277,0.57802004609528,0.295293231470633,0.3562326590257596
Орловская область,0.27736841250830047,0.3108630251157743,-0.02751023600434073,0.43701160300930253,0.4965827853910756,0.28034482258348303,0.6453617744508566,0.10116967138115276,0.12152024437443698
Пензенская область,0.2133857800356198,-0.12004275462907077,-0.005941320286431975,0.3643113049039751,0.5984327884065646,0.27287770205570494,0.5832274686983334,0.05195266009089938,0.08487611899712855
Пермский край,0.34809724476670567,0.04490192663226277,0.05778374116559302,0.32574931136717744,0.72007244394941,0.37159998458353805,0.6903368734996711,0.31457035381483456,0.3679945699256155
Приморский край,0.47407143086316683,-0.8920619432546021,-0.005941320286431975,0.2435550874804171,0.6643306249111072,0.3918659593446545,0.7253143302607334,0.2855035366737201,0.21177309733179195
Псковская область,0.268236412687064,0.004397759340278421,0.6087268891170515,0.19961052858939188,0.4686207587759197,0.23014737204584357,0.6597408405088521,0.12483947515280819,0.1287140361475103
Республика Крым,0.18371524560911823,-0.5006843267706097,0.7760320245319116,0.401360667751128,0.6658848411071021,0.17846291184138652,0.5134860688281302,0.3240618801159809,0.21843703180583196
Ростовская область,0.3716044486960275,0.3757672931860619,-0.005941320286431975,0.47136584943814797,0.8047475050383326,0.2899842859298829,0.7304496128772362,0.20326088774628714,0.15705712540931493
Рязанская область,0.2877213655104205,1.9871499485852429,-0.049247004894128386,0.32574931136717744,0.569583482419586,0.2960346258136206,0.6488294640084264,0.10116967138115276,0.06232882237241455
Самарская область,0.3416933107204727,-0.4840922582413628,-0.16054303093518096,0.32574931136717744,0.7556686382115905,0.352048255013917,0.6878016461776122,0.2139456590218631,0.17097659305122725
Санкт-Петербург,0.6395979076439566,1.4078915561083116,-2.2125299166834123,0.19961052858939188,0.8491704550050587,0.5336246517760479,0.8247373392335673,0.36109275288568893,0.02376204632042933
Саратовская область,0.21159876019525115,-0.9462301669824363,0.35626968019301025,0.3643113049039751,0.7075874607877057,0.25681707364085105,0.5643891273874084,0.08910618386905503,0.14297095359472944
"Саха (Якутия), республика",0.6036914744660988,-0.9969823766013082,0.7922243058546863,0.2435550874804171,0.5463144176630015,0.5849217487703244,0.7657851032390317,0.6000738904885548,0.6151382965373995
