region,per_capita,disabled/population,poverty_percent,housing: n_room,population,gross/population,retail,newborn/population,part children
Тамбовская область,0.30021715751153355,1.537212090233321,-0.5238023184247903,0.3643113049039751,0.5525199320673672,0.27187802694178653,0.6534167757125671,0.0519526600908994,0.02376204632042933
"Татарстан, республика",0.4467129833715422,-0.1688429561856788,-1.8993682851318683,0.3643113049039751,0.791878787169451,0.4328421444280475,0.7415604057947824,0.39671257765913215,0.30179810385024686
Тверская область,0.295742662085722,0.034653884305374555,-0.3727838805007063,0.2435550874804171,0.59221085051303,0.2814474423291896,0.6569180506888959,0.12483947515280822,0.14297095359472944
Томская область,0.3206111068581441,-0.8549737900715811,0.27973994211146175,0.2855458966287848,0.5648077708827707,0.35915258146445855,0.5576306405937794,0.2555039368162417,0.28935162486463106
Тульская область,0.33144859518214265,1.1365624354535724,-0.7109740012550961,0.2855458966287848,0.6189223649593957,0.3416561547235973,0.6709058922388538,0.0519526600908994,0.00797414097292215
"Тыва, республика",0.06993928937517957,-0.5548525504984446,2.483790861931745,0.47136584943814797,0.35408049679756387,0.1587056804111219,0.1996403647329279,0.9861492679930222,1.0
Тюменская область,0.3663320369212917,-0.7349252942423263,0.12008730656769834,0.3643113049039751,0.627309491183624,0.46445838330086153,0.7981877062559031,0.519365134129246,0.42510196514904086
Удмуртская республика,0.2454934610569648,-0.33720365155597515,-0.25288733230225546,0.32574931136717744,0.6230696307707292,0.32088825553344097,0.5508712747156332,0.30498147682785537,0.3854197966110684
Ульяновская область,0.2249702027862961,0.6729605206658011,0.3937623331379393,0.32574931136717744,0.5878756192509306,0.25807851017436334,0.5662306871921228,0.17045375631782497,0.11428218283496827
Хабаровский край,0.5412295143715227,-1.228783333995195,-0.22951346614622045,0.2435550874804171,0.5997914285948834,0.42560292467996624,0.8152591374000888,0.3701257440309705,0.26405642870079626
"Хакасия, республика",0.2063809678190749,-1.1912071787966072,0.9795454794771702,0.401360667751128,0.4405956868791533,0.3494679728726327,0.5951379149543179,0.33345801257891877,0.458081171128085
Ханты-Мансийский АО - Югра,0.7000371853403271,-2.1203630164344145,-1.225763904300334,0.19961052858939188,0.6424159792826637,0.7335265679836561,0.7797972933422326,0.5269970729241016,0.5265136983675811
Челябинская область,0.27256177250851277,-0.5982847298838252,-0.09323469675849205,0.2435550874804171,0.7709265157501508,0.3305882923993367,0.5890676878444792,0.2952932314706331,0.3141142508186294
Чеченская республика,0.22511602673332742,1.9407897571064656,1.2526165141095404,0.8766112560315273,0.6204338993830328,0.05127323917441504,0.4282940100880195,1.0,0.9931417806367149
Чувашская республика,0.135036914246359,-0.6070687661640148,0.7103075637777613,0.2855458966287848,0.5861426260351462,0.19525171625532325,0.49195004897676675,0.26561114131583335,0.30179810385024686
Чукотский АО,0.997422247021774,-2.0813228551891285,-1.3620426736880638,0.0,0.023151233941617996,0.7854065341875024,0.6968420917353741,0.39671257765913215,0.5213887173250851
Ямало-Ненецкий АО,1.0,-2.4317083023655712,-2.788860733508476,0.19961052858939188,0.44393061005675005,0.9927684515744275,0.7889860132270625,0.5787442814570811,0.5814620942189497
Ярославская область,0.3340667877486485,0.1747104627728382,-0.766839077590025,0.2435550874804171,0.5912284331286491,0.34649909013455,0.6679935883889803,0.17045375631782497,0.17097659305122725
