region,per_capita,disabled/population,poverty_percent,housing: n_room,population,gross/population,retail,newborn/population,part children,part retired
"Калмыкия, республика",0.09580398819223124,7.83,3.122364924487357,0.5675136160101697,0.32077957225818765,0.24611725973305187,0.25311701833134936,0.35197163360624667,0.4688719008360427,0.6798565431539663
Калужская область,0.3906034858748546,7.597,2.272125885509337,0.2435550874804171,0.5517861920750031,0.37980315347521865,0.6914767131609567,0.23495569624692597,0.135864096393433,0.921819518564647
Камчатский край,0.7101610612355795,4.276,2.681021528714291,0.2435550874804171,0.34615308788481225,0.5253941870357113,0.6631537526527644,0.3701257440309704,0.2830786431242309,0.6406074795894412
Карачаево-Черкесская республика,0.06921424062224002,11.072,3.1441522786722644,0.5045144318056378,0.4162685285593841,0.10492240885425774,0.2390547207487863,0.4225641964479737,0.4025906313222789,0.692570107147974
"Карелия, республика",0.3931956263565377,9.769,2.714694743820879,0.32574931136717744,0.4651875886863157,0.36132337238607537,0.7173248634667795,0.18151787728842173,0.2512018604420194,0.8851572729626032
Кемеровская область,0.24511755880681463,8.11,2.580216829592325,0.32574931136717744,0.7240103619965039,0.28190984926059803,0.5292818877994367,0.18151787728842173,0.33234998491297496,0.8326415426801783
Кировская область,0.21521688872681732,9.486,2.6390573296152584,0.2435550874804171,0.5924941588544479,0.22103958796722267,0.5601769900388378,0.17045375631782494,0.22506342278789448,0.9507488169182214
"Коми, республика",0.4639398586543697,7.457,2.72785282839839,0.2855458966287848,0.5163774692472527,0.4615609432572141,0.6615477684061117,0.2555039368162416,0.3738317098877397,0.7051074959864034
Костромская область,0.2532173720583666,9.113,2.5257286443082556,0.2435550874804171,0.47066007230087137,0.22868682404979035,0.6059596397114992,0.18151787728842173,0.2512018604420194,0.9185473013138834
Краснодарский край,0.4665578590681525,7.55,2.341805806147327,0.47136584943814797,0.858022654692226,0.32650867461968813,0.7866911152187397,0.3701257440309704,0.27043141063970655,0.8575286503719903
Красноярский край,0.3977459595749675,6.328,2.833213344056216,0.2855458966287848,0.7373451666302715,0.5279780413359894,0.6500357910334102,0.34276064963595315,0.33234998491297496,0.7337029667564647
Курганская область,0.15463109829539157,8.688,2.9601050959108397,0.32574931136717744,0.5178126416935209,0.20217931457372718,0.5110883787982781,0.23495569624692597,0.3141142508186294,0.9475797520893643
Курская область,0.33955001642647353,10.715,2.2925347571405443,0.32574931136717744,0.5688108973795576,0.3419337384375374,0.674346916263338,0.15925712775568732,0.14297095359472944,0.9380054078916817
Ленинградская область,0.4034892769031373,6.997,2.163323025660538,0.19961052858939188,0.6624575791557381,0.4269033380403524,0.7751875593535962,0.013261318951486745,0.03157723313562233,0.9185473013138834
Липецкая область,0.3866106170884249,10.03,2.128231705849268,0.3643113049039751,0.5743805147863343,0.37375498254353134,0.73798801073535,0.14792477918016594,0.1640374502788946,0.9283286623489024
Магаданская область,0.8575979675132785,3.592,2.163323025660538,0.10506792410935506,0.20420653338064043,0.739092781583905,0.7563992085309907,0.2756102452995443,0.2830786431242309,0.6669617821332907
"Марий Эл, республика",0.13810866610535388,9.029,2.970414465569701,0.32574931136717744,0.48305322019413066,0.1987047849969099,0.4681036048005405,0.31457035381483456,0.33234998491297496,0.8217624486765569
"Мордовия, республика",0.12004550860816643,8.559,2.8678989020441064,0.43701160300930253,0.5097356657564125,0.2444033822965621,0.44115619802256223,0.0,0.039340834183462015,0.9020063089234442
Москва,0.9094261064530169,7.822,1.791759469228055,0.15352150189013558,1.0000000000000002,0.6666214921478013,1.0,0.3049814768278553,0.0,0.8919345861774497
Московская область,0.6127548131368004,5.365,1.916922612182061,0.19961052858939188,0.9117031522962777,0.43620249444532355,0.9223844141249105,0.36109275288568893,0.17787503680494554,0.8181068191230749
Мурманская область,0.6039107151206631,3.823,2.312535423847214,0.2435550874804171,0.49847661430288714,0.5611512758613704,0.7505680455133801,0.20326088774628714,0.27043141063970655,0.7051074959864034
Ненецкий АО,0.9602858379135277,6.617,2.2407096892759584,0.43701160300930253,0.0,1.0000000000000004,0.7165564643210409,0.6140279899908616,0.6056145093741363,0.5217007920055203
Нижегородская область,0.41236638093052846,8.77,2.2407096892759584,0.2855458966287848,0.7569647163134781,0.34779553842066546,0.7389109063015242,0.19245259036753196,0.14297095359472944,0.9185473013138834
Новгородская область,0.26442587485966307,9.356,2.6100697927420065,0.2855458966287848,0.46006359797580676,0.33283425903613395,0.6683240403442783,0.14792477918016594,0.19833087915405656,0.9664297481366186
Новосибирская область,0.3741854431832081,6.542,2.624668592163159,0.2855458966287848,0.7330983895551408,0.34133468981997783,0.6503764242748238,0.36109275288568893,0.25764670554440494,0.8181068191230749
Омская область,0.2886398063372777,6.469,2.6100697927420065,0.3643113049039751,0.6671771138720624,0.2863103455869447,0.6221783681845201,0.2555039368162416,0.3141142508186294,0.8070504646290315
Оренбургская область,0.22809760405613222,9.432,2.6390573296152584,0.47136584943814797,0.6699218694431119,0.37007965618674277,0.57802004609528,0.295293231470633,0.3562326590257596,0.8144363593888206
Орловская область,0.27736841250830047,8.146,2.5572273113676265,0.43701160300930253,0.4965827853910756,0.28034482258348303,0.6453617744508566,0.10116967138115276,0.12152024437443698,0.9539068204162762
Пензенская область,0.2133857800356198,7.263,2.5649493574615367,0.3643113049039751,0.5984327884065646,0.27287770205570494,0.5832274686983334,0.05195266009089938,0.08487611899712855,0.9664297481366186
Пермский край,0.34809724476670567,7.601,2.5877640352277083,0.32574931136717744,0.72007244394941,0.37159998458353805,0.6903368734996711,0.31457035381483456,0.3679945699256155,0.8070504646290315
Приморский край,0.47407143086316683,5.681,2.5649493574615367,0.2435550874804171,0.6643306249111072,0.3918659593446545,0.7253143302607334,0.2855035366737201,0.21177309733179195,0.80333478349861
Псковская область,0.268236412687064,7.518,2.785011242238338,0.19961052858939188,0.4686207587759197,0.23014737204584357,0.6597408405088521,0.12483947515280819,0.1287140361475103,0.9726268071830497
Республика Крым,0.18371524560911823,6.483,2.8449093838194073,0.401360667751128,0.6658848411071021,0.17846291184138652,0.5134860688281302,0.3240618801159809,0.21843703180583196,0.921819518564647
Ростовская область,0.3716044486960275,8.279,2.5649493574615367,0.47136584943814797,0.8047475050383326,0.2899842859298829,0.7304496128772362,0.20326088774628714,0.15705712540931493,0.8885522753837525
