region,per_capita,disabled/population,poverty_percent,housing: n_room,population,gross/population,retail,newborn/population,part children,part retired
Краснодарский край,0.2732474572558897,0.4942935852026762,0.20817843866171007,0.34375,0.44573098491305346,0.06289790733074632,0.5898519671137359,0.25373134328358204,0.19289340101522856,0.7821782178217822
Красноярский край,0.21840905668642455,0.37406532861078323,0.45353159851301117,0.1875,0.22337748520496492,0.15983412924508375,0.40835454141652305,0.23134328358208955,0.24365482233502544,0.6188118811881189
Курганская область,0.0682126185815389,0.6062573789846518,0.5390334572490707,0.21875,0.0619801316577658,0.030067470794441664,0.26991487899519784,0.14925373134328357,0.2284263959390863,0.915841584158416
Курская область,0.17671215999780973,0.8056867375049194,0.18959107806691453,0.21875,0.08389264560429471,0.06809341402756991,0.4369777713214569,0.09701492537313428,0.09644670050761439,0.9009900990099011
Ленинградская область,0.22274849078041367,0.4398858717040536,0.1449814126394052,0.125,0.14498699062717274,0.10251183658481094,0.5725009149041377,0.007462686567164201,0.020304568527918843,0.8712871287128714
Липецкая область,0.21011348236163777,0.7382920110192838,0.1338289962825279,0.25,0.08669168704559012,0.07976789658093186,0.5191599084816503,0.08955223880597007,0.1116751269035533,0.886138613861386
Магаданская область,0.7390316354327797,0.10487996851633219,0.1449814126394052,0.0625,0.0076015706229428485,0.37377066201503556,0.5450426163744095,0.17910447761194026,0.20304568527918787,0.5396039603960396
"Марий Эл, республика",0.06005393492217767,0.6398071625344354,0.5464684014869888,0.21875,0.050285547660085896,0.0293445962247808,0.23460376968440697,0.20895522388059695,0.24365482233502544,0.7326732673267329
"Мордовия, республика",0.05138875580074195,0.5935655253837072,0.4758364312267659,0.3125,0.05905397259198377,0.039614541407796404,0.21402890258994697,0.0,0.025380710659898553,0.8465346534653466
Москва,0.826901753569424,0.5210547028728848,0.0446096654275093,0.09375,1.0000000000000002,0.2814811411035284,1.0,0.20149253731343275,0.0,0.8316831683168318
Московская область,0.41298544852226526,0.27931916568280213,0.07434944237918215,0.125,0.6052533930749232,0.10695814610150686,0.8292886655250153,0.24626865671641796,0.12182741116751283,0.7277227722772277
Мурманская область,0.40352630354136143,0.1276072412436049,0.1970260223048327,0.15625,0.055191923867465874,0.183673251768917,0.5367372423252813,0.12686567164179108,0.19289340101522856,0.5841584158415842
Ненецкий АО,0.9208635063175042,0.40249901613537986,0.17100371747211898,0.3125,0.0,1.0,0.4902573185347008,0.4850746268656716,0.5025380710659899,0.38613861386138626
Нижегородская область,0.2295382677855197,0.6143250688705234,0.17100371747211898,0.1875,0.2500271490318798,0.07014470168899534,0.5204337902732421,0.11940298507462688,0.09644670050761439,0.8712871287128714
Новгородская область,0.12855402390111018,0.6719795356158993,0.32713754646840143,0.1875,0.04372315965973636,0.06499366499875181,0.42975072703450945,0.08955223880597007,0.13705583756345174,0.9455445544554457
Новосибирская область,0.20103763124392546,0.3951200314836679,0.3345724907063198,0.1875,0.21798844195267872,0.06788620986280766,0.4087456454753451,0.24626865671641796,0.18274111675126914,0.7277227722772277
Омская область,0.14342035016632212,0.3879378197560016,0.32713754646840143,0.25,0.14900734274457558,0.05063919315452573,0.37729249834479184,0.16417910447761197,0.2284263959390863,0.7128712871287128
Оренбургская область,0.10734965982669639,0.6794569067296341,0.3420074349442379,0.34375,0.1513953494262452,0.07835018803190483,0.3316087506739561,0.19402985074626866,0.26395939086294407,0.722772277227723
Орловская область,0.13642523716307783,0.5529319165682803,0.3011152416356878,0.3125,0.05456615055539163,0.04896647320897345,0.4030159710136021,0.059701492537313494,0.08121827411167526,0.9257425742574257
Пензенская область,0.09912253083462239,0.4660566706021252,0.3048327137546468,0.25,0.09984606578075866,0.046922709114380616,0.33677970505166765,0.02985074626865669,0.05583756345177682,0.9455445544554457
Пермский край,0.18258476954456473,0.49931129476584024,0.3159851301115242,0.21875,0.2022443780133051,0.07893436041407975,0.4566111950743238,0.20895522388059695,0.2741116751269037,0.7128712871287128
Приморский край,0.27962656226471916,0.31040928768201503,0.3048327137546468,0.15625,0.14656970794923654,0.08703463530270034,0.5019122194875979,0.18656716417910446,0.14720812182741128,0.7079207920792081
Псковская область,0.130853787080259,0.4911452184179457,0.4237918215613383,0.125,0.046066603936308854,0.03622763303808698,0.4196071639089175,0.07462686567164178,0.08629441624365486,0.9554455445544556
Республика Крым,0.0831337011129211,0.38931523022432113,0.4609665427509293,0.28125,0.14789581547143385,0.025308429708381416,0.27197934970569426,0.21641791044776115,0.15228426395939088,0.8762376237623763
Ростовская область,0.19917591819413835,0.5660173160173161,0.3048327137546468,0.34375,0.32877319303009156,0.05168737806539437,0.5088459357304288,0.12686567164179108,0.1065989847715737,0.8267326732673268
Рязанская область,0.14284540937153492,0.8908894136166864,0.2973977695167287,0.21875,0.08427566066337987,0.053444061806674194,0.4069717092085451,0.059701492537313494,0.040609137055837685,0.9851485148514851
Самарская область,0.17817689011786284,0.3926603699330973,0.2788104089219331,0.21875,0.2481738912113756,0.07166023635374066,0.4534544265995458,0.13432835820895517,0.11675126903553312,0.8267326732673268
Санкт-Петербург,0.4425675213207211,0.7741046831955923,0.040892193308550207,0.125,0.42377446262330254,0.16369352156125902,0.6502970994046838,0.24626865671641796,0.015228426395939132,0.8267326732673268
Саратовская область,0.09813691804355859,0.29948839039748143,0.37174721189591087,0.25,0.18820563737378473,0.04270872181234472,0.3183363550777878,0.052238805970149294,0.09644670050761439,0.8514851485148516
"Саха (Якутия), республика",0.40329358941013804,0.2892561983471075,0.46468401486988853,0.15625,0.0734436718535301,0.2025938177923233,0.5586251016172153,0.4701492537313433,0.5126903553299493,0.3168316831683168
Сахалинская область,0.6008541977522552,0.18486816214088947,0.10780669144981417,0.125,0.03515490936814151,0.3785493117674076,0.8047636474364527,0.3358208955223879,0.2284263959390863,0.6485148514851486
Свердловская область,0.2805847969226978,0.3678669815033452,0.15613382899628256,0.15625,0.3377062534905898,0.08808503186576125,0.5843150510809837,0.23880597014925375,0.2233502538071067,0.7673267326732673
Севастополь,0.1790529903765862,0.19883903974813066,0.23048327137546473,0.15625,0.03205857415500815,0.030233522430912242,0.25329575009568084,0.17910447761194026,0.09137055837563457,0.8465346534653466
Северная Осетия - Алания,0.09650791912499487,0.5831365604092876,0.3382899628252788,0.4375,0.05166437021211389,0.024805002378118522,0.31499241537485934,0.3507462686567163,0.31472081218274117,0.6336633663366338
Смоленская область,0.154344225267279,0.5222353404171586,0.4014869888475836,0.1875,0.07050658985363902,0.04819725267774803,0.37837362170739275,0.0,0.040609137055837685,0.8910891089108912
Ставропольский край,0.09628889406031402,0.4873081463990555,0.3345724907063198,0.34375,0.21841609856855743,0.03283444515590312,0.3779210584393272,0.20895522388059695,0.19796954314720827,0.6930693069306932
Тамбовская область,0.1507440007665877,0.8001770956316413,0.22304832713754655,0.25,0.07619435160829915,0.046653242991027376,0.41224882040222266,0.02985074626865669,0.015228426395939132,0.9851485148514851
"Татарстан, республика",0.25677951020519907,0.4562180243998426,0.06691449814126393,0.25,0.30542874574322176,0.1053342207324463,0.5241045812253291,0.27611940298507465,0.218274111675127,0.7079207920792081
Тверская область,0.1478966749257368,0.49724517906336096,0.24535315985130116,0.15625,0.09626967552870168,0.049272945012757884,0.4163107154131317,0.07462686567164178,0.09644670050761439,0.9405940594059408
Томская область,0.16399501717977852,0.31788665879574973,0.3568773234200744,0.1875,0.08193467008939709,0.07424433472455472,0.31189431250890465,0.16417910447761197,0.20812182741116758,0.6188118811881189
Тульская область,0.1712228443142462,0.7194018103109012,0.1970260223048327,0.1875,0.11255497876834895,0.06799734538546867,0.4328376554987834,0.02985074626865669,0.005076142131979822,1.0
"Тыва, республика",0.028678594406647412,0.3783943329397875,1.0000000000000002,0.34375,0.02242145935465406,0.021642635946607085,0.07321467981148785,0.9776119402985073,1.0,0.054455445544554504
Тюменская область,0.19539773582839384,0.3420897284533648,0.32713754646840143,0.25,0.11819762405603687,0.12141897471990712,0.6076136785850973,0.3880597014925372,0.3248730964467006,0.5643564356435644
Удмуртская республика,0.11734267840275972,0.4222746950019678,0.2639405204460967,0.21875,0.11531167405204762,0.06107540718985222,0.3055416651534665,0.20149253731343275,0.28934010152284273,0.7029702970297029
Ульяновская область,0.10558377024270713,0.6259346713892169,0.379182156133829,0.21875,0.0938511954439017,0.04303095163799899,0.3201074977441677,0.10447761194029848,0.07614213197969544,0.9009900990099011
Хабаровский край,0.34035126144748185,0.24252262888626525,0.26765799256505574,0.15625,0.10064391488089885,0.10190183526453356,0.6347870298719693,0.25373134328358204,0.18781725888324874,0.6287128712871288
"Хакасия, республика",0.09527590313616516,0.2500983864620228,0.5092936802973977,0.28125,0.03879628316297778,0.07073793789577962,0.3488201228625465,0.22388059701492535,0.35532994923857864,0.6386138613861385
Ханты-Мансийский АО - Югра,0.5142434737375258,0.06277056277056281,0.1338289962825279,0.125,0.1290619859097316,0.36579751763368074,0.5794039015423469,0.3955223880597014,0.42131979695431476,0.23762376237623772
Челябинская область,0.13348208785642904,0.36963793781975607,0.28996282527881045,0.15625,0.27087752636384704,0.06424407288073267,0.3426462659339984,0.19402985074626866,0.2284263959390863,0.7574257425742574
Чеченская республика,0.10566590464196243,0.881542699724518,0.5799256505576208,0.8125,0.11355221099182775,0.005692990211819807,0.20460888197317587,1.0,0.9898477157360408,0.0
Чувашская республика,0.058561826669039446,0.3678669815033452,0.44609665427509293,0.1875,0.09290090017641331,0.028635090302746358,0.25380139177172933,0.17164179104477617,0.218274111675127,0.7128712871287128
Чукотский АО,0.9947023312480322,0.07064147973238888,0.11895910780669147,0.0,0.0004889200289251963,0.44668887428759635,0.4647880635041248,0.27611940298507465,0.41624365482233494,0.19306930693069313
Ямало-Ненецкий АО,0.9999999999999999,0.0,0.0,0.125,0.039602205736155104,0.9735779639190272,0.5933635228418739,0.4477611940298507,0.47715736040609147,0.03960396039603964
Ярославская область,0.17298873389823546,0.5254820936639119,0.18959107806691453,0.15625,0.09571640517056874,0.06968728462308926,0.4293568293752672,0.10447761194029848,0.11675126903553312,0.9009900990099011
